9744	3124
1966	3124
6131	0
5617	0
2088	0
4172	3124
546	3127
9282	1562
2863	1562
8643	0
8163	897
3446	99
787	2293
9275	2892
5700	1595
8712	3590
9293	2554
3434	0
2483	1360
2086	0
2376	3124
8312	0
5277	1562
6450	3120
6946	0
1675	0
1596	860
4862	1562
8927	0
7596	3123
9531	0
2468	1562
5735	1565
9264	3127
3315	1566
3630	0
9851	1561
6266	1562
4252	3125
6092	1563
7175	3731
2853	0
4102	1558
3904	0
8072	0
8011	0
309	3392
7106	1562
4383	3124
3902	1562
6843	3124
6804	3124
1181	3128
2499	1562
8574	2004
4049	4794
8235	3124
2876	0
9659	1562
7054	0
8922	398
2336	2593
8449	797
116	499
5902	1196
1685	1592
3787	1396
1554	398
9862	897
5201	1396
4297	2792
9850	1196
4151	997
8730	1396
9270	1795
3529	2094
2581	3091
6735	2792
8612	2194
1877	798
4816	897
1047	2497
7328	1196
4342	394
3972	99
8850	698
5087	1595
2017	1696
7992	1495
2667	1895
3585	598
7617	1097
1784	797
8728	1396
4847	2294
9059	399
4460	1499
5419	2689
6246	2194
574	897
