1969	176
1300	144
8258	837
2613	287
5888	595
3458	381
3877	391
1443	143
7549	834
7085	735
5228	556
8662	850
343	40
4319	474
7495	813
3901	422
8006	844
7021	704
9482	986
8858	949
2617	282
7839	862
9259	1009
7139	763
5397	594
256	68
8490	881
6951	743
1858	197
1413	158
434	46
5634	591
2700	284
3822	363
6759	688
6202	634
1877	189
8150	841
9492	972
7924	855
6704	707
2401	245
1924	200
7088	744
8975	945
8850	928
1720	181
476	53
7071	783
283	28
1254	131
578	53
1942	212
4567	484
9240	957
7255	767
1572	156
9378	945
9063	963
4586	472
9041	939
9618	981
8533	910
7484	690
6783	653
3930	386
4901	511
4082	406
2835	309
861	88
9502	993
2035	195
180	15
7375	732
8537	830
802	70
1990	188
1318	120
6697	631
8878	866
4635	471
8811	875
200	20
8385	798
8393	799
5791	582
795	87
3753	354
7139	690
195	20
6999	733
9020	913
6596	648
7765	812
5848	611
3442	349
9453	1000
220	23
285	28
7850	806
