162	32590
248	32966
368	33650
423	34409
498	39126
607	46357
678	35004
691	34833
740	34741
781	39983
809	55227
812	48171
862	55415
922	39379
950	47347
1173	48449
1450	37764
1469	43248
1474	42294
1542	45044
1590	37508
1705	38199
1765	39904
1768	39666
1832	44938
2103	41089
2207	62319
2229	42312
2329	51512
2498	58721
2567	51616
2789	45372
2988	49029
3066	63728
3682	53310
3688	63849
3742	47351
3757	67555
3786	46119
3856	59500
3944	56902
3972	46038
4015	51611
4052	62638
4057	53092
4135	50097
4158	49243
4220	52493
4495	62804
4517	66445
4596	63459
4649	51062
4674	52919
4977	56594
5044	58213
5084	58064
5240	56906
5395	80145
5576	64282
5711	54819
5834	68057
5868	54240
6045	60366
6062	64071
6108	69713
6336	62626
6370	59335
6505	58325
6754	73688
6754	69631
7131	66583
7451	64292
7451	68473
7630	77403
7703	70369
8058	77316
8108	75557
8152	67982
8349	67051
8362	78809
8366	70612
8478	67551
8737	68004
8791	65015
8903	69558
8943	71129
9157	73144
9199	75022
9282	75427
9283	92319
9288	68274
9376	76206
9410	77671
9429	75866
9604	86171
9789	72267
9822	75200
9828	78311
9894	70939
9998	72417
